preboard1,preboard2,revalida,gwa,board_passer
52.82,62.93,77.54,67.391,NOT_PASSER
64.2,73.48,77.27,79.075,NOT_PASSER
68.09,48.28,53.03,64.468,NOT_PASSER
90.86,48.89,79.46,76.936,NOT_PASSER
80.15,59.22,77.69,,PASSER
48.55,66.8,86.96,67.415,NOT_PASSER
79.86,74.66,98.49,,PASSER
69.22,92.13,91.27,87.606,PASSER
64.85,82.86,77.31,86.293,PASSER
84.18,67.6,68.93,84.682,NOT_PASSER
90.46,69.71,100.0,,PASSER
88.97,54.96,80.59,85.857,PASSER
62.41,69.72,80.14,67.148,NOT_PASSER
70.36,65.67,79.76,69.885,PASSER
79.97,74.84,81.98,,PASSER
89.63,57.59,78.56,,NOT_PASSER
67.81,77.79,74.26,74.417,NOT_PASSER
72.22,92.99,74.53,75.384,PASSER
58.4,68.37,79.67,80.981,NOT_PASSER
57.06,76.03,74.57,71.745,NOT_PASSER
87.19,80.35,72.87,75.687,NOT_PASSER
95.34,63.98,81.06,80.917,PASSER
73.92,73.36,77.45,70.273,NOT_PASSER
90.05,70.19,95.04,,PASSER
80.42,71.47,53.49,65.721,NOT_PASSER
65.32,58.4,90.92,85.511,PASSER
80.42,70.37,92.46,85.987,PASSER
98.07,77.47,59.27,73.109,PASSER
74.46,91.77,76.57,,NOT_PASSER
98.47,84.39,76.29,89.501,PASSER
40.0,100.0,65.92,78.457,NOT_PASSER
87.33,58.49,72.22,80.92,PASSER
76.31,83.08,68.89,83.472,NOT_PASSER
70.51,72.75,97.52,,PASSER
76.38,100.0,89.36,,PASSER
45.19,57.88,92.72,64.949,NOT_PASSER
71.7,57.4,87.22,83.315,NOT_PASSER
80.36,61.01,68.71,,NOT_PASSER
97.17,40.0,74.75,71.938,PASSER
67.23,62.11,84.89,66.976,PASSER
62.87,58.61,67.78,67.763,NOT_PASSER
67.47,72.26,87.13,74.314,NOT_PASSER
88.73,75.13,77.6,,PASSER
79.93,98.14,76.25,85.138,PASSER
67.05,84.26,87.11,87.481,PASSER
82.7,61.35,84.44,77.526,PASSER
76.46,56.52,76.39,67.287,NOT_PASSER
89.53,77.38,91.59,87.348,PASSER
64.47,50.2,69.19,75.859,NOT_PASSER
70.09,97.47,86.16,83.512,PASSER
69.12,87.69,85.93,85.876,PASSER
53.05,62.96,76.9,72.028,NOT_PASSER
79.44,44.3,83.26,74.955,NOT_PASSER
78.92,90.31,67.49,78.004,NOT_PASSER
75.08,68.28,89.24,69.275,PASSER
71.48,88.57,78.15,71.858,PASSER
53.77,46.08,74.77,60.0,NOT_PASSER
68.69,61.01,90.49,79.427,PASSER
69.86,70.08,72.96,71.77,NOT_PASSER
62.97,70.7,65.92,,NOT_PASSER
72.58,63.25,64.43,81.528,NOT_PASSER
81.06,79.34,86.06,76.063,PASSER
100.0,53.99,67.2,75.073,NOT_PASSER
77.62,67.86,97.55,85.616,NOT_PASSER
78.86,71.8,59.18,69.549,NOT_PASSER
73.88,77.72,96.96,72.966,PASSER
46.22,80.67,82.11,70.628,NOT_PASSER
74.6,53.13,79.03,67.684,PASSER
75.9,46.99,74.55,81.501,NOT_PASSER
100.0,89.17,83.99,91.689,PASSER
72.11,74.98,79.62,80.453,PASSER
79.52,58.77,91.03,,PASSER
74.48,93.27,81.14,87.555,PASSER
57.47,71.74,81.5,68.85,NOT_PASSER
92.14,87.69,76.36,,PASSER
86.28,71.01,79.43,80.24,PASSER
86.87,100.0,83.08,91.14,PASSER
61.36,96.33,62.9,84.687,NOT_PASSER
96.04,66.27,66.52,74.498,PASSER
53.97,84.57,87.43,69.863,PASSER
83.8,79.68,81.71,75.424,PASSER
100.0,90.53,78.16,83.324,PASSER
60.14,55.53,80.18,79.002,NOT_PASSER
66.51,80.29,83.48,85.595,PASSER
76.49,85.88,74.6,69.634,PASSER
67.45,43.62,72.22,70.763,NOT_PASSER
51.74,52.25,81.96,,NOT_PASSER
76.03,40.0,70.22,,NOT_PASSER
59.07,65.96,84.08,,PASSER
82.1,80.76,62.97,74.391,PASSER
61.21,92.54,90.29,89.532,PASSER
98.25,71.11,84.73,78.812,PASSER
63.25,94.43,82.56,,PASSER
70.17,49.3,89.83,78.944,NOT_PASSER
87.2,44.45,96.65,,PASSER
56.54,69.17,90.14,85.411,NOT_PASSER
78.41,75.76,61.59,85.209,NOT_PASSER
94.61,69.51,67.2,,NOT_PASSER
50.89,40.0,73.75,67.385,NOT_PASSER
77.77,68.66,80.26,73.799,NOT_PASSER
78.9,50.43,85.18,71.448,NOT_PASSER
86.73,80.05,72.74,70.658,NOT_PASSER
56.45,75.5,81.87,77.828,PASSER
55.19,55.9,72.45,,NOT_PASSER
82.83,62.29,73.88,67.53,NOT_PASSER
79.45,54.11,65.93,,NOT_PASSER
78.76,69.06,70.77,84.597,NOT_PASSER
80.2,84.33,66.48,73.293,PASSER
64.8,55.21,70.24,64.606,NOT_PASSER
78.48,77.56,90.54,80.886,PASSER
79.4,62.05,70.51,,PASSER
64.28,58.11,100.0,71.906,PASSER
100.0,68.39,84.93,85.663,PASSER
82.11,54.47,81.85,81.637,PASSER
57.13,61.7,71.42,,NOT_PASSER
84.85,52.03,87.0,81.878,PASSER
60.38,99.47,74.24,76.371,NOT_PASSER
86.81,70.53,81.22,82.406,PASSER
92.38,59.5,100.0,84.651,PASSER
62.69,73.21,79.04,76.539,NOT_PASSER
89.45,68.32,91.49,,PASSER
81.19,66.69,72.97,83.514,NOT_PASSER
87.33,79.21,79.65,,PASSER
100.0,81.36,97.71,80.242,PASSER
71.32,62.04,73.73,65.331,NOT_PASSER
63.69,61.36,98.12,,NOT_PASSER
61.66,65.87,87.08,79.32,NOT_PASSER
62.76,40.0,74.38,60.0,NOT_PASSER
73.84,47.27,86.32,74.814,NOT_PASSER
80.12,90.5,89.73,77.922,PASSER
79.15,94.67,86.22,86.243,PASSER
87.41,66.26,64.3,69.816,PASSER
75.2,78.65,72.73,81.582,PASSER
96.8,74.67,77.52,79.233,PASSER
71.03,100.0,79.26,90.45,PASSER
100.0,86.79,86.21,78.25,PASSER
84.39,68.08,81.78,,NOT_PASSER
62.14,55.67,66.65,63.013,NOT_PASSER
58.94,45.9,83.8,79.934,NOT_PASSER
82.24,73.05,86.11,,PASSER
71.65,58.65,85.6,71.142,NOT_PASSER
85.71,48.67,90.81,80.731,PASSER
82.1,60.3,88.34,,NOT_PASSER
73.91,53.78,84.59,76.484,NOT_PASSER
62.3,95.31,79.3,80.078,PASSER
52.28,83.22,63.39,67.985,NOT_PASSER
68.3,69.88,84.3,,NOT_PASSER
87.85,92.2,82.08,91.633,PASSER
78.21,71.16,82.72,86.69,NOT_PASSER
56.31,57.08,67.23,72.765,NOT_PASSER
77.6,92.85,69.19,,PASSER
80.78,78.08,90.53,78.549,PASSER
61.74,54.44,79.6,77.149,NOT_PASSER
77.31,67.14,86.82,,PASSER
75.87,56.87,80.28,,NOT_PASSER
57.86,49.26,80.3,76.834,NOT_PASSER
80.37,83.89,89.38,85.114,PASSER
83.41,98.64,74.84,74.498,PASSER
91.25,49.02,80.96,70.104,NOT_PASSER
90.81,78.44,75.38,88.743,NOT_PASSER
54.33,60.24,75.66,73.834,NOT_PASSER
60.93,62.69,76.91,63.606,NOT_PASSER
82.73,61.11,82.22,,NOT_PASSER
82.71,57.04,75.21,79.097,PASSER
82.73,70.73,92.56,71.105,PASSER
100.0,57.54,71.05,71.314,PASSER
83.56,74.06,78.13,80.266,PASSER
92.03,69.25,75.6,83.318,NOT_PASSER
89.31,66.42,94.47,84.739,PASSER
84.77,56.39,81.97,71.674,NOT_PASSER
70.27,61.35,90.32,81.234,PASSER
86.38,81.33,65.14,,PASSER
63.41,77.51,82.67,,PASSER
71.45,55.34,88.9,80.878,NOT_PASSER
67.72,71.49,80.82,79.664,NOT_PASSER
76.23,81.27,90.65,88.343,PASSER
100.0,44.96,74.83,79.784,NOT_PASSER
46.99,78.15,94.09,77.905,PASSER
85.29,60.06,100.0,72.765,PASSER
50.81,78.56,76.37,71.644,NOT_PASSER
67.92,58.55,75.54,68.972,NOT_PASSER
91.33,42.93,94.53,73.011,PASSER
75.96,45.59,95.8,,PASSER
58.83,70.72,74.77,71.915,PASSER
64.27,73.9,75.8,83.503,PASSER
85.19,56.44,77.18,,NOT_PASSER
64.04,79.58,66.56,,NOT_PASSER
78.25,45.08,70.81,,NOT_PASSER
75.68,69.01,69.96,77.313,NOT_PASSER
65.23,51.83,72.32,71.414,NOT_PASSER
100.0,60.22,79.65,73.883,PASSER
84.51,70.71,82.34,84.042,PASSER
44.62,57.09,95.51,68.485,NOT_PASSER
77.8,64.23,70.02,65.828,PASSER
65.07,85.09,89.84,82.909,PASSER
87.79,61.35,77.86,71.376,NOT_PASSER
63.11,82.54,79.51,86.336,NOT_PASSER
73.28,53.05,86.75,,NOT_PASSER
82.57,77.95,68.77,,NOT_PASSER
87.99,91.62,83.82,81.308,PASSER
57.0,40.0,81.66,60.086,NOT_PASSER
69.98,58.05,84.92,84.058,NOT_PASSER
67.88,78.66,82.89,76.802,PASSER
65.2,66.95,100.0,88.025,PASSER
100.0,75.57,73.62,90.804,PASSER
81.07,60.94,74.69,83.177,PASSER
56.09,71.3,73.77,69.416,NOT_PASSER
88.77,67.66,74.45,76.182,NOT_PASSER
100.0,87.52,73.63,90.548,PASSER
90.49,73.82,91.89,,PASSER
52.21,75.06,94.21,70.303,NOT_PASSER
67.74,63.82,74.29,75.444,NOT_PASSER
94.0,62.69,71.68,86.785,PASSER
64.38,63.51,84.71,79.354,NOT_PASSER
81.66,75.92,74.48,80.078,PASSER
86.62,63.69,86.33,,PASSER
61.1,74.35,82.03,78.547,NOT_PASSER
74.11,100.0,64.84,89.626,NOT_PASSER
40.0,83.07,95.48,69.227,PASSER
59.63,65.11,97.96,77.483,NOT_PASSER
71.21,88.02,73.87,86.397,PASSER
56.28,63.88,76.12,77.529,NOT_PASSER
99.49,40.0,82.86,80.999,NOT_PASSER
53.55,54.88,83.34,76.011,NOT_PASSER
68.4,41.94,86.59,70.011,NOT_PASSER
76.96,64.73,100.0,76.154,PASSER
96.62,70.28,78.23,,PASSER
53.46,95.15,72.02,82.974,PASSER
92.45,74.9,66.21,86.268,PASSER
75.15,66.71,72.69,84.023,NOT_PASSER
60.28,82.44,79.67,77.292,PASSER
81.93,40.0,97.95,,NOT_PASSER
77.99,73.53,74.82,,NOT_PASSER
66.0,81.56,82.24,81.299,PASSER
76.05,47.82,79.84,77.991,NOT_PASSER
69.22,87.16,91.88,87.293,PASSER
76.7,75.08,100.0,89.763,PASSER
84.93,63.77,74.69,73.992,PASSER
98.79,79.49,75.11,79.743,PASSER
56.43,100.0,90.44,73.025,PASSER
100.0,72.73,86.82,,PASSER
45.72,73.72,98.47,67.037,NOT_PASSER
72.72,63.11,85.84,76.257,NOT_PASSER
83.82,57.25,76.41,,NOT_PASSER
79.21,82.46,85.91,76.994,PASSER
65.66,57.16,91.09,77.468,NOT_PASSER
71.88,71.07,88.2,69.135,PASSER
67.6,62.84,85.07,66.665,NOT_PASSER
66.16,77.18,90.67,,PASSER
87.74,75.0,91.69,79.609,PASSER
80.36,85.56,93.82,75.831,PASSER
64.61,62.35,86.49,,NOT_PASSER
88.49,65.95,78.33,84.195,PASSER
79.61,55.32,81.47,,NOT_PASSER
87.19,63.34,92.07,82.891,PASSER
84.44,75.66,71.83,70.362,PASSER
